Genome,Length (bp),Total Motifs,Motifs per kb,Unique Classes,Slipped_DNA,Cruciform,G-Quadruplex,Curved_DNA,Z-DNA,A-philic_DNA
Ebola_Virus,0,275,0,6,41,173,37,16,7,1.0
Hepatitis_B_Virus,0,49,0,5,6,30,9,2,2,0.0
Human_Papillomavirus_16,0,111,0,5,17,72,15,5,2,0.0
Influenza_A_H1N1,0,22,0,5,4,13,2,2,1,0.0
SARS-CoV-2,0,447,0,6,69,303,36,29,9,1.0
